name,place,population,muni_name,lat,lon
Acquasparta,village,2907.0,Acquasparta,42.6910182,12.5465572
Canepine,hamlet,9.0,Acquasparta,42.6821215,12.5770242
Casette di Scoppio,hamlet,,Acquasparta,42.7411939,12.5797621
Casigliano,hamlet,53.0,Acquasparta,42.7126601,12.5053887
Casteldelmonte,hamlet,55.0,Acquasparta,42.6999678,12.5738924
Cisterna,hamlet,,Acquasparta,42.7089653,12.6126201
Collebianco,hamlet,18.0,Acquasparta,42.7166339,12.6142099
Collecampo,isolated_dwelling,,Acquasparta,42.6878336,12.606003
Configni,hamlet,95.0,Acquasparta,42.6962449,12.5304253
Firenzuola,hamlet,96.0,Acquasparta,42.7119699,12.6114939
Macerino,hamlet,16.0,Acquasparta,42.6730358,12.6033599
Portaria,hamlet,89.0,Acquasparta,42.6566136,12.5661231
Rosaro,hamlet,45.0,Acquasparta,42.7086999,12.4842694
San Nicolò,hamlet,28.0,Acquasparta,42.7025739,12.5447206
Santa Barbara,hamlet,72.0,Acquasparta,42.6974586,12.5484966
Scoppio,locality,,Acquasparta,42.7287794,12.597666
Scoppio Nuovo,hamlet,13.0,Acquasparta,42.7347481,12.5906251
Selvarelle Alte,hamlet,16.0,Acquasparta,42.7295684,12.4942284
Selvarelle Basse,hamlet,59.0,Acquasparta,42.726111,12.4948149
Allerona,village,309.0,Allerona,42.812033,11.973053
Allerona Scalo,village,1081.0,Allerona,42.7839418,12.0368255
Palombara,hamlet,4.0,Allerona,42.8380503,12.0037306
Pratale,hamlet,76.0,Allerona,42.8068303,11.983078
San Pietro Aquaeortus,hamlet,,Allerona,42.8432468,11.918305
Acquasanta,hamlet,16.0,Alviano,42.570464,12.2695138
Alviano,village,367.0,Alviano,42.5882078,12.2959357
Alviano Scalo,village,336.0,Alviano,42.590112,12.2611577
Campo della Fiera,hamlet,54.0,Alviano,42.5975597,12.2622051
Feluca,hamlet,26.0,Alviano,42.5860942,12.272086
Madonnella,hamlet,11.0,Alviano,42.5888574,12.2768653
Paolicchie,hamlet,177.0,Alviano,42.5927981,12.3043616
Archileggi,hamlet,49.0,Amelia,42.5492299,12.4088903
Casetta,hamlet,40.0,Amelia,42.6017779,12.44376
Collicello,hamlet,96.0,Amelia,42.6172229,12.4038833
Foce,hamlet,139.0,Amelia,42.5682212,12.455441
Fornaci,hamlet,18.0,Amelia,42.5466008,12.4499383
Fornole,village,1215.0,Amelia,42.5408533,12.4574772
La Torre,locality,,Amelia,42.525003,12.4364457
Le Fornaci,locality,,Amelia,42.5227614,12.4336883
Macchie,hamlet,412.0,Amelia,42.5987395,12.3654428
Montecampano,hamlet,205.0,Amelia,42.5138324,12.428818
Montenero,hamlet,208.0,Amelia,42.5349496,12.4016669
Porchiano del Monte,hamlet,268.0,Amelia,42.5501389,12.3545387
Sambucetole,hamlet,255.0,Amelia,42.5984096,12.4373556
Santa Maria,hamlet,11.0,Amelia,42.5547174,12.441467
Testa di Lepre,hamlet,24.0,Amelia,42.5316902,12.4491714
Zona Industriale Fornaci,hamlet,6.0,Amelia,42.5490585,12.4501034
Arrone,village,1349.0,Arrone,42.583433,12.7698649
Buonacquisto,hamlet,52.0,Arrone,42.5477566,12.8084511
Casteldilago,village,441.0,Arrone,42.5788115,12.7588322
Castiglioni,hamlet,177.0,Arrone,42.5765012,12.7848176
Colle Alvano,hamlet,11.0,Arrone,42.5825215,12.7467839
Colle Sant'Angelo,hamlet,29.0,Arrone,42.541436,12.7874133
Palombare,hamlet,42.0,Arrone,42.598738,12.7758293
Rosciano,hamlet,48.0,Arrone,42.5812304,12.8079989
Tripozzo,hamlet,,Arrone,42.5952039,12.7871876
Vallecupa,hamlet,38.0,Arrone,42.581534,12.7975419
Vallefredda,hamlet,6.0,Arrone,42.5717633,12.7850324
Valleludra,hamlet,69.0,Arrone,42.5819332,12.7846903
Armenzano,hamlet,29.0,Assisi,43.0704161,12.6982427
