# Dataset: Papal States Populations 1836
# Source: https://www.google.com/books/edition/Indice_alfabetico_di_tutti_i_luoghi_dell/hfPSxRmzc-sC
;name;type;comune;governo;distretto;legazione;diocesi;population
1;Abbadia di S. Angelo;Frazione;S. Anatoglia;Matelica;Fabriano;Macerata;Camerino;67
2;Abbadia di Petroja;Frazione;Città di Castello;Città di Castello;Città di Castello;Perugia;Città di Castello;249
3;Abbratassa;Frazione;Frosinone;;Frosinone;Frosinone;Veroli;29
4;Abeto;Frazione;Preci;;Norcia;Spoleto;Norcia;316
5;Acera;Annesso;Agliano (appodiato di Campello);Campello;Spoleto;Spoleto;Spoleto;45
6;Acquacanina;Comune;;;Camerino;Camerino;Camerino;623
7;Acquajura;Frazione;;;Spoleto;Spoleto;Spoleto;57
8;Acqua la Castagna;Frazione;;;Spoleto;Spoleto;Spoleto;42
9;Acqualagna;Comune;;Cagli;Gubbio;Urbino e Pesaro;Urbino;831
10;Acqualore Acqualoreto;Appodiato;Baschi;;Todi;Perugia;Todi;317
11;Acquapalombo;Appodiato;Terni;Terni;Spoleto;Spoleto;Spoleto;102
12;Acquapendente;Città Vescovile;;Viterbo;Viterbo;Viterbo;;3310
13;Acquara;Frazione;Preci;;Norcia;Spoleto;Norcia;90
14;Acquasanta;Comune;;Arquata;Ascoli;Ascoli;Ascoli;338
15;Acquasparta;Comune;;Terni;Terni;Spoleto;Todi;1291
16;Acqua S. Stefano;Frazione;Scopoli;Foligno;Foligno;Perugia;Foligno;32
17;Acquaviva;Comune;;S. Benedetto;Montalto;Ascoli;Ripatransone;1787
18;Acquedotto;Frazione;;;Forlì;Forlì;Forlì;272
19;Acquiliano;Frazione;Teodorano;Bertinoro;Forlì;Forlì;Bertinoro;243
20;Acquosi;Frazione;Gagliole;Camerino;Camerino;Camerino;Camerino;318
21;Acuto;Comune;;Anagni;Frosinone;Frosinone;Anagni;1773
22;Affile;Comune;;Subiaco;Subiaco;Comarca;Subiaco;1452
23;Affrico e sue Ville;Appodiato;Gaggio di Montagna;Porretta;Bologna;Bologna;Bologna;1100
24;Afrile Fondi ed Arvello;Frazione;Colfiorito;Foligno;Spoleto;Perugia;Foligno;156
25;Agelli;Annesso;S. Anatoglia;;Spoleto;Spoleto;Spoleto;89
26;Agelli;Frazione;Osoli;Ascoli;Ascoli;Ascoli;Ascoli;58
27;Agelli;Frazione;;;Spoleto;Spoleto;Spoleto;6
28;Agello;Appodiato;Magione;;Perugia;Perugia;Perugia;879
29;Agliano;Frazione;S. Severino;;—;Macerata;Camerino;230
30;Agliano;Appodiato;Campello;;Spoleto;Spoleto;Spoleto;128
31;Agliano;Frazione;;;Spoleto;Spoleto;Spoleto;27
32;Agolla;Frazione;Sefro;;Camerino;Camerino;Camerino;213
33;Agosta;Comune;;Subiaco;Subiaco;Comarca;Subiaco;1001
34;Agriano;Frazione;Norcia;Norcia;Distrettuale;Spoleto;Norcia;216
35;Agugliano;Comune;;Osimo;Osimo;Ancona;Ancona;1625
36;Aguscello;Frazione;;Ferrara;Ferrara;Ferrara;Ferrara;383
37;Aguzzo;Appodiato;Stroncone;;Termi;Spoleto;Narni;177
38;Alatri;Città Vescovile;;Alatri;Frosinone;Frosinone;;10281
