# Dataset: Stradario regione Umbria Sept 2025;;;
# Source: https://www.anncsu.gov.it/it/consultazione-dellarchivio/open-data/Accedi-ai-servizi-di-dowload-massivo-in-Open-data/;;;
name;ID;locality;municipality
BORGO GUGLIELMO OBERDAN PORTARIA;412804;;Acquasparta
CORSO DEI LINCEI;412770;;Acquasparta
CORSO UMBERTO PRIMO;412843;;Acquasparta
FRAZIONE CASIGLIANO CAMPAGNA;412753;;Acquasparta
FRAZIONE CASTELDELMONTE CAMPAGNA;412755;;Acquasparta
FRAZIONE CASTELDELMONTE CENTRO;412754;;Acquasparta
FRAZIONE CONFIGNI CAMPAGNA;412762;;Acquasparta
FRAZIONE CONFIGNI CENTRO;412763;;Acquasparta
FRAZIONE FIRENZUOLA CAMPAGNA;412793;;Acquasparta
FRAZIONE MACERINO CAMPAGNA;412807;;Acquasparta
FRAZIONE PORTARIA CAMPAGNA;412812;;Acquasparta
FRAZIONE ROSARO CAMPAGNA;412814;;Acquasparta
FRAZIONE SCOPPIO CAMPAGNA;412819;;Acquasparta
FRAZIONE SCOPPIO CENTRO;412845;;Acquasparta
FRAZIONE SELVARELLE ALTE;412826;;Acquasparta
FRAZIONE SELVARELLE BASSE;412824;;Acquasparta
LARGO ANGELO DE FILIS;412745;;Acquasparta
LOCALITA' LE CAPANNE;412870;;Acquasparta
PIAZZA CAMPO VACCINO CASIGLIANO;412751;;Acquasparta
PIAZZA CORSINI CASIGLIANO;412764;;Acquasparta
PIAZZA DEL GHETTO;412774;;Acquasparta
PIAZZA DEL MERCATO;412867;;Acquasparta
PIAZZA DELLA CHIESA MACERINO;412844;;Acquasparta
PIAZZA FEDERICO CESI;412791;;Acquasparta
PIAZZA GIUSEPPE VERDI PORTARIA;412802;;Acquasparta
PIAZZA MASSARUCCI MACERINO;412809;;Acquasparta
PIAZZALE DONATORI DI SANGUE;412836;;Acquasparta
PIAZZALE UNITA' D'ITALIA;412849;;Acquasparta
PIAZZETTA DELLE PROVE;412850;;Acquasparta
SALITA DELLA TORRE PORTARIA;412783;;Acquasparta
STRADA DEI MURELLI;412859;;Acquasparta
STRADA DEI PALAZZI;412872;;Acquasparta
STRADA DEL CASALE;412887;;Acquasparta
STRADA DEL MULINO ROMANI;412884;;Acquasparta
STRADA DEL NAIA;412882;;Acquasparta
STRADA DEL TESORO;412853;;Acquasparta
STRADA DELLA CASELLA;412863;;Acquasparta
STRADA DELLA CASTAGNOLA;412866;;Acquasparta
STRADA DELLA ROMITA;412880;;Acquasparta
STRADA DELL'ABBEVERATOIO;412834;;Acquasparta
STRADA DELLE CERVARE;412888;;Acquasparta
STRADA DELLE FONTANE SELVARELLE;412827;;Acquasparta
STRADA DELLE PALORNIE;412873;;Acquasparta
STRADA DI CASA POTENTE;412857;;Acquasparta
STRADA DI CASTELLACCIO;412852;;Acquasparta
STRADA DI COLLEPULCINO;412886;;Acquasparta
